id	audio	n_frames	src_text	tgt_text	speaker
ted_1_0	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:98720:460800	460800	And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful. I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.	Muito obrigado, Chris. É realmente uma grande honra ter a oportunidade de pisar este palco pela segunda vez. Estou muito agradecido. Fiquei muito impressionado com esta conferência e quero agradecer a todos os imensos comentários simpáticos sobre o que eu tinha a dizer naquela noite.	spk.1
ted_1_1	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:778720:367680	367680	(Laughter) Now I have to take off my shoes or boots to get on an airplane! (Laughter) (Applause)	Digo-o sinceramente, em parte, porque... preciso mesmo disso. (Risos) Coloquem-se no meu lugar! (Risos) Voei na Força Aérea Dois durante oito anos. (Risos) Agora tenho que tirar os sapatos ou as botas para entrar num avião! (Risos) (Aplausos)	spk.1
ted_1_2	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:1161600:65920	65920	I'll tell you one quick story to illustrate what that's been like for me.	Vou contar-vos uma pequena história para ilustrar como tem sido a minha vida.	spk.1
ted_1_3	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:1235520:61440	61440	It's a true story — every bit of this is true.	É uma história verdadeira, cada pedaço desta história.	spk.1
ted_1_4	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:1315200:48640	48640	Soon after Tipper and I left the — (Mock sob) White House —	Logo a seguir de a Tipper e eu deixarmos a Casa Branca... (Risos)	spk.1
ted_1_5	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:1404000:167200	167200	(Laughter) we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville. Driving ourselves. (Laughter)	... íamos da nossa casa em Nashville para uma pequena quinta que temos a 80 quilómetros a leste de Nashville — sem motorista... (Risos) Eu sei que vos parece uma coisa sem importância, mas... (Risos) Olhei pelo retrovisor e, de repente, percebi.	spk.1
ted_1_6	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:1793600:469600	469600	(Laughter) It was dinnertime, and we started looking for a place to eat. We were on I-40.	Não havia um cortejo motorizado atrás de nós. (Risos) Já ouviram falar da dor do membro amputado? (Risos) Estávamos num Ford Taurus alugado. (Risos) Eram horas de jantar e começámos a procurar um lugar para comer. Estávamos na I-40. Chegámos à saída 238, Lebanon, Tennessee.	spk.1
ted_1_7	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:2322720:121280	121280	We got off the exit, we found a Shoney's restaurant. Low-cost family restaurant chain, for those of you who don't know it.	Saímos da I-40 e começámos a procurar... encontrámos um restaurante Shoney 's. — uma rede de restaurantes familiares económicos, para quem não conhece.	spk.1
ted_1_8	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:2461920:133440	133440	We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper. (Laughter)	Entrámos, sentámo-nos numa mesa e veio uma empregada, que ficou encantada quando viu Tipper. (Risos) Ela anotou o nosso pedido e foi atender um casal numa mesa próxima.	spk.1
ted_1_9	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:2604480:119040	119040	She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.	Baixou tanto a voz que tive de fazer um grande esforço para perceber o que ela disse: "Sim, é o ex-vice-presidente Al Gore e a sua esposa Tipper".	spk.1
ted_1_10	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:2742400:124640	124640	And she said "Yes, that's former Vice President Al Gore and his wife, Tipper." And the man said, "He's come down a long way, hasn't he?" (Laughter)	E o homem disse: "Ele deu um grande tombo na vida, não foi?" (Risos)	spk.1
ted_1_11	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:2867680:187359	187359	There's been kind of a series of epiphanies.	Tenho tido uma série de epifanias destas.	spk.1
ted_1_12	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3092640:199040	199040	The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.	No dia seguinte, continuando uma história realmente verdadeira, entrei num G-5 para África para fazer uma palestra na Nigéria, na cidade de Lagos, sobre o tema da energia.	spk.1
ted_1_13	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3300959:98080	98080	And I began the speech by telling them the story of what had just happened the day before in Nashville.	E comecei a palestra por contar a história do que tinha acontecido no dia anterior em Nashville.	spk.1
ted_1_14	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3411040:137600	137600	And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said — they laughed.	Contei-lhes praticamente a mesma história que acabei de vos contar. Nós no carro a conduzir, o Shoney 's, a rede de restaurantes económicos, o que o homem disse — e eles riram-se.	spk.1
ted_1_15	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3562240:55839	55839	I gave my speech, then went back out to the airport to fly back home.	Fiz a palestra, voltei para o aeroporto para apanhar o avião para casa.	spk.1
ted_1_16	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3621440:100000	100000	I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.	Adormeci no avião até que, a meio da noite, aterrámos nos Açores para reabastecer.	spk.1
ted_1_17	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3734400:90240	90240	I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.	Acordei, abriram a porta, saí para apanhar um pouco de ar fresco, e, de repente, vi um homem a correr na pista.	spk.1
ted_1_18	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3843840:71680	71680	And he was waving a piece of paper, and he was yelling, "Call Washington!	Agitava um pedaço de papel e gritava: "Telefone para Washington!	spk.1
ted_1_19	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:3924320:108320	108320	Call Washington! "And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?	Telefone para Washington! "E pensei, a meio da noite, aqui no meio do Atlântico, o que poderia estar a acontecer em Washington?	spk.1
ted_1_20	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:4032639:38400	38400	Then I remembered it could be a bunch of things.	Lembrei-me de um bom punhado de coisas. (Risos)	spk.1
ted_1_21	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:4173439:1760	1760	(Laughter)	Mas não era nada disso.	spk.1
ted_1_22	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:4195200:271519	271519	But what it turned out to be, was that my staff was extremely upset because one of the wire services in Nigeria had already written a story about my speech, and it had already been printed in cities all across the United States of America.	A minha equipa estava muito preocupada porque uma agência nigeriana já tinha publicado a notícia do meu discurso. E já estava impressa em cidades por todos os Estados Unidos da América.	spk.1
ted_1_23	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:4466720:21600	21600	It was printed in Monterey, I checked.	Já estava impressa em Monterey, eu verifiquei.	spk.1
ted_1_24	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:4522080:229280	229280	(Laughter) And the story began, "Former Vice President Al Gore announced in Nigeria yesterday," quote: 'My wife Tipper and I have opened a low-cost family restaurant' "— (Laughter)	A notícia começava assim "O ex-vice-presidente Al Gore anunciou ontem na Nigéria:" 'Eu e a minha esposa Tipper abrimos um restaurante familiar económico... (Risos) "'... chamado Shoney 's, e estamos nós próprios a geri-lo'". (Risos) Antes de chegar a solo americano David Letterman e Jay Leno já tinham iniciado a brincadeira.	spk.1
ted_1_25	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5011520:424159	424159	(Laughter) Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying, "Congratulations on the new restaurant, Al!" (Laughter)	Um deles colocou-me um enorme chapéu branco de cozinheiro, enquanto Tipper dizia: "Mais um hambúrguer com batatas fritas!" Três dias depois, recebi uma deliciosa carta de um meu amigo, companheiro e colega Bill Clinton, dizendo: "Parabéns pelo novo restaurante, Al!" (Risos) Gostamos de festejar os êxitos um do outro. (Risos)	spk.1
ted_1_26	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5450240:29279	29279	I was going to talk about information ecology.	Eu ia falar sobre a ecologia da informação.	spk.1
ted_1_27	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5490400:170560	170560	But I was thinking that, since I plan to make a lifelong habit of coming back to TED, that maybe I could talk about that another time. (Applause)	Mas, como estou a planear fazer das palestras no TED um hábito para a vida, pensei que talvez pudesse falar sobre isso numa outra ocasião. (Aplausos)	spk.1
ted_1_28	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5660960:3040	3040	Chris Anderson: It's a deal!	Chris Anderson: Combinado!	spk.1
ted_1_29	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5716480:162720	162720	Al Gore: I want to focus on what many of you have said you would like me to elaborate on: What can you do about the climate crisis?	Al Gore: Gostaria de me concentrar no que muitos de vocês disseram que gostariam que eu explicasse. O que podemos fazer em relação à crise climática?	spk.1
ted_1_30	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:5893280:175840	175840	I want to start with a couple of — I'm going to show some new images, and I'm going to recapitulate just four or five.	Quero começar com algumas... Vou mostrar-vos algumas novas imagens e recapitular só quatro ou cinco.	spk.1
ted_1_31	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6082240:18080	18080	Now, the slide show.	São estes os diapositivos.	spk.1
ted_1_32	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6106400:53760	53760	I update the slide show every time I give it.	Atualizo-os antes de cada sessão.	spk.1
ted_1_33	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6160160:64479	64479	I add new images, because I learn more about it every time I give it.	E coloco novas imagens porque assim aprendo mais de cada vez que a faço.	spk.1
ted_1_34	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6238400:25600	25600	It's like beach-combing, you know?	É como apanhar conchas na praia.	spk.1
ted_1_35	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6269760:44000	44000	Every time the tide comes in and out, you find some more shells.	Sempre que a maré sobe e desce, encontramos mais conchas.	spk.1
ted_1_36	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6326560:86560	86560	Just in the last two days, we got the new temperature records in January.	Só nos últimos dois dias, tivemos novos recordes de temperatura em janeiro.	spk.1
ted_1_37	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6415680:42080	42080	This is just for the United States of America.	Isto é válido só para os EUA.	spk.1
ted_1_38	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6465120:100320	100320	Historical average for Januarys is 31 degrees; last month was 39.5 degrees.	A média histórica para janeiro é de -0,6º C. No mês passado foi de 4,2º C.	spk.1
ted_1_39	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6576320:202240	202240	Now, I know that you wanted some more bad news about the environment — I'm kidding. But these are the recapitulation slides, and then I'm going to go into new material about what you can do.	Sei que querem mais más notícias sobre o meio ambiente — estou a brincar — mas estes são os diapositivos de revisão e vou mostrar-vos novos materiais sobre o que vocês podem fazer.	spk.1
ted_1_40	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6781599:28640	28640	But I wanted to elaborate on a couple of these.	Mas quero trabalhar sobre alguns destes.	spk.1
ted_1_41	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6826080:101600	101600	First of all, this is where we're projected to go with the U.S. contribution to global warming, under business as usual.	Antes de mais, esta era a projeção da contribuição dos EUA para o aquecimento global, com os negócios como sempre.	spk.1
ted_1_42	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:6937600:108800	108800	Efficiency in end-use electricity and end-use of all energy is the low-hanging fruit.	A eficiência no uso final da eletricidade e de todas as formas de energia é a mais baixa.	spk.1
ted_1_43	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7047040:71679	71679	Efficiency and conservation — it's not a cost; it's a profit.	A eficiência e a conservação: não é um custo, é um benefício.	spk.1
ted_1_44	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7121920:36959	36959	The sign is wrong.	O sinal está errado.	spk.1
ted_1_45	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7165439:32160	32160	It's not negative; it's positive.	Não é negativo, é positivo.	spk.1
ted_1_46	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7201120:43200	43200	These are investments that pay for themselves.	Estes são investimentos que se pagam a si próprios.	spk.1
ted_1_47	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7245440:60800	60800	But they are also very effective in deflecting our path.	Mas também são muito eficazes em nos desviarem do caminho.	spk.1
ted_1_48	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7322880:101279	101279	Cars and trucks — I talked about that in the slideshow, but I want you to put it in perspective.	Carros e camiões — falei sobre isso na apresentação, mas quero colocá-lo em perspetiva.	spk.1
ted_1_49	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7438560:196160	196160	It's an easy, visible target of concern — and it should be — but there is more global warming pollution that comes from buildings than from cars and trucks.	É um alvo fácil e visível de preocupação e é assim que deve ser, mas há mais poluição a causar aquecimento proveniente dos edifícios do que de carros e camiões.	spk.1
ted_1_50	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7649440:79680	79680	Cars and trucks are very significant, and we have the lowest standards in the world.	Os carros e camiões são muito importantes e nós temos os piores padrões do mundo.	spk.1
ted_1_51	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7732480:20800	20800	And so we should address that.	Temos que tratar disso.	spk.1
ted_1_52	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7753440:19999	19999	But it's part of the puzzle.	Mas esta é apenas uma parte do quebra-cabeças.	spk.1
ted_1_53	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7781920:71360	71360	Other transportation efficiency is as important as cars and trucks.	A eficiência de outros meios de transporte é tão importante como a dos carros e camiões.	spk.1
ted_1_54	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7866560:96000	96000	Renewables at the current levels of technological efficiency can make this much difference.	As energias renováveis, nos atuais níveis de eficiência tecnológica podem fazer a diferença.	spk.1
ted_1_55	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:7966400:197920	197920	And with what Vinod, and John Doerr and others, many of you here — there are a lot of people directly involved in this — this wedge is going to grow much more rapidly than the current projection shows it.	Com Vinod, John Doerr e outros, muitos de vocês aqui, — há muitas pessoas diretamente envolvidas nisso — esta parcela vai crescer muito mais rapidamente do que as projeções preveem.	spk.1
ted_1_56	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8179040:303040	303040	Carbon Capture and Sequestration — that's what CCS stands for — is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.	A Captura e Sequestro de Carbono — é o que significa CSC — está a tornar-se na derradeira aplicação que nos permitirá continuar a usar os combustíveis fósseis de uma forma segura.	spk.1
ted_1_57	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8504640:68480	68480	Not quite there yet. OK. Now, what can you do?	Ainda não chegámos lá. OK. O que podemos fazer?	spk.1
ted_1_58	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8616479:22240	22240	Reduce emissions in your home.	Reduzir as emissões nas nossas casas.	spk.1
ted_1_59	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8656640:64000	64000	Most of these expenditures are also profitable.	A maior parte destes investimentos também são rentáveis.	spk.1
ted_1_60	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8736800:71520	71520	Insulation, better design. Buy green electricity where you can.	Isolamento, um melhor design, comprar eletricidade verde onde se puder.	spk.1
ted_1_61	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8823840:151680	151680	I mentioned automobiles — buy a hybrid. Use light rail. Figure out some of the other options that are much better. It's important.	Eu falei de automóveis — comprem um híbrido. Usem o comboio. Procurem outras opções que sejam melhores. Isso é importante.	spk.1
ted_1_62	bt4st/data/mustc/en-pt/data/train/wav/ted_1.wav:8996960:314240	314240	Be a green consumer. You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis. Consider this: Make a decision to live a carbon-neutral life.	Sejam consumidores verdes. Podem escolher, em tudo o que compram, entre coisas que têm um impacto forte ou um menor impacto na crise climática global. Pensem nisto. Tomem a decisão de viver uma vida neutra em carbono.	spk.1
