id	audio	n_frames	src_text	tgt_text	speaker
ted_1096_0	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:201760:65119	65119	Back in New York, I am the head of development for a non-profit called Robin Hood.	Em Nova Iorque, sou o responsável pelo desenvolvimento de uma organização não-lucrativa, a Robin Hood.	spk.1096
ted_1096_1	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:270400:82240	82240	When I'm not fighting poverty, I'm fighting fires as the assistant captain of a volunteer fire company.	Ou estou a combater a pobreza ou a combater incêndios como capitão assistente de um corpo de bombeiros voluntários.	spk.1096
ted_1096_2	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:360480:129600	129600	Now in our town, where the volunteers supplement a highly skilled career staff, you have to get to the fire scene pretty early to get in on any action.	Na nossa cidade, onde os voluntaries reforçam um quadro de profissionais altamente qualificados, temos de chegar ao local de incêndio bem cedo para participarmos em qualquer ação.	spk.1096
ted_1096_3	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:504320:24800	24800	I remember my first fire.	Lembro-me do meu primeiro incêndio.	spk.1096
ted_1096_4	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:533439:66400	66400	I was the second volunteer on the scene, so there was a pretty good chance I was going to get in.	Eu era o segundo voluntário no local, por isso, havia uma boa hipótese de ser chamado a intervir.	spk.1096
ted_1096_5	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:615680:89120	89120	But still it was a real footrace against the other volunteers to get to the captain in charge to find out what our assignments would be.	Mas continuava a ser uma verdadeira corrida com os outros voluntários para chegarmos até ao capitão no comando e descobrirmos as nossas atribuições.	spk.1096
ted_1096_6	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:718560:137599	137599	When I found the captain, he was having a very engaging conversation with the homeowner, who was surely having one of the worst days of her life.	Quando encontrei o capitão, ele estava a ter uma conversa muito envolvente com a dona da casa, que estava a ter, certamente, um dos piores dias da sua vida.	spk.1096
ted_1096_7	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:867199:153440	153440	Here it was, the middle of the night, she was standing outside in the pouring rain, under an umbrella, in her pajamas, barefoot, while her house was in flames.	Estávamos a meio da noite, ela estava de pé, cá fora, à chuva que caía a cântaros, debaixo de um guarda-chuva, em pijama, descalça, enquanto a sua casa ardia em chamas.	spk.1096
ted_1096_8	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:1042400:293440	293440	The other volunteer who had arrived just before me — let's call him Lex Luther — (Laughter) got to the captain first and was asked to go inside and save the homeowner's dog. The dog! I was stunned with jealousy.	O outro voluntário que chegou mesmo antes de mim — chamemos-lhe Lex Luther — (Risos) chegou primeiro ao pé do capitão e pediram-lhe que fosse lá dentro para salvar o cão da dona da casa. O cão! Fiquei siderado de inveja.	spk.1096
ted_1096_9	bt4st/data/mustc/en-pt/data/tst-COMMON/wav/ted_1096.wav:1338879:165920	165920	Here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.	Aqui estava um qualquer advogado ou gerente financeiro que, para o resto da sua vida, podia contar às pessoas que tinha entrado numa casa em chamas para salvar uma criatura viva, apenas por me ter batido em cinco segundos.	spk.1096
