id	audio	n_frames	src_text	tgt_text	speaker
ted_1932_0	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:213280:92480	92480	I'm going to talk to you tonight about coming out of the closet, and not in the traditional sense, not just the gay closet.	Hoje vou-vos falar sobre sair do armário. Não no sentido tradicional, não apenas o armário "gay".	spk.1932
ted_1932_1	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:317600:21440	21440	I think we all have closets.	Eu acho que todos temos armários.	spk.1932
ted_1932_2	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:352160:192160	192160	Your closet may be telling someone you love her for the first time, or telling someone that you're pregnant, or telling someone you have cancer, or any of the other hard conversations we have throughout our lives.	O vosso armário pode ser dizer a alguém que a amamos pela primeira vez, ou dizer a alguém que estamos grávidas, ou dizermos que temos cancro, ou qualquer outra conversa difícil que temos durante as nossas vidas.	spk.1932
ted_1932_3	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:554400:176640	176640	All a closet is is a hard conversation, and although our topics may vary tremendously, the experience of being in and coming out of the closet is universal.	Um armário não é mais do que uma conversa difícil. Apesar de os assuntos variarem tremendamente, a experiência de estar num armário e sair dele é universal.	spk.1932
ted_1932_4	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:743360:75679	75679	It is scary, and we hate it, and it needs to be done.	É assustador, odiamos, mas precisa de ser feito.	spk.1932
ted_1932_5	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:838720:281760	281760	Several years ago, I was working at the South Side Walnut Cafe, a local diner in town, and during my time there I would go through phases of militant lesbian intensity: not shaving my armpits, quoting Ani DiFranco lyrics as gospel.	Há vários anos, eu trabalhava no café South Side Walnut, um restaurante local. Durante o tempo que estive lá, vivi fases de uma intensa militância lésbica: (Risos) não depilava as axilas, citava as letras de Ani DiFranco como se fossem o evangelho.	spk.1932
ted_1932_6	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:1134400:122880	122880	And depending on the bagginess of my cargo shorts and how recently I had shaved my head, the question would often be sprung on me, usually by a little kid:	E, dependendo da largura dos meus calções e de há quanto tempo eu tinha rapado a cabeça, a pergunta que muitas vezes me atiravam era — normalmente por um miúdo —:	spk.1932
ted_1932_7	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:1271520:56960	56960	"Um, are you a boy or are you a girl?"	"És um menino ou uma menina?"	spk.1932
ted_1932_8	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:1355360:31520	31520	And there would be an awkward silence at the table.	Depois havia um silêncio constrangedor na mesa.	spk.1932
ted_1932_9	bt4st/data/mustc/en-pt/data/tst-HE/wav/ted_1932.wav:1402239:72160	72160	I'd clench my jaw a little tighter, hold my coffee pot with a little more vengeance.	Eu cerrava os maxilares mais um pouco, agarrava no jarro do café com um pouco mais de raiva.	spk.1932
