id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1932_0	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16412254:85278	92480	I'm going to talk to you tonight about coming out of the closet, and not in the traditional sense, not just the gay closet.	spk.1932	en
ted_1932_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11628207:18111	21440	I think we all have closets.	spk.1932	en
ted_1932_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14010872:158887	192160	Your closet may be telling someone you love her for the first time, or telling someone that you're pregnant, or telling someone you have cancer, or any of the other hard conversations we have throughout our lives.	spk.1932	en
ted_1932_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12491298:155010	176640	All a closet is is a hard conversation, and although our topics may vary tremendously, the experience of being in and coming out of the closet is universal.	spk.1932	en
ted_1932_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10892206:60072	75679	It is scary, and we hate it, and it needs to be done.	spk.1932	en
ted_1932_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:399998:272290	281760	Several years ago, I was working at the South Side Walnut Cafe, a local diner in town, and during my time there I would go through phases of militant lesbian intensity: not shaving my armpits, quoting Ani DiFranco lyrics as gospel.	spk.1932	en
ted_1932_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14169804:125154	122880	And depending on the bagginess of my cargo shorts and how recently I had shaved my head, the question would often be sprung on me, usually by a little kid:	spk.1932	en
ted_1932_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9334776:51945	56960	"Um, are you a boy or are you a girl?"	spk.1932	en
ted_1932_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10470823:29303	31520	And there would be an awkward silence at the table.	spk.1932	en
ted_1932_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4437025:63791	72160	I'd clench my jaw a little tighter, hold my coffee pot with a little more vengeance.	spk.1932	en
