id	audio	n_frames	tgt_text	speaker	tgt_lang
ted_1932_0	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:16412254:85278	92480	Hoje vou-vos falar sobre sair do armário. Não no sentido tradicional, não apenas o armário "gay".	spk.1932	pt
ted_1932_1	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:11628207:18111	21440	Eu acho que todos temos armários.	spk.1932	pt
ted_1932_2	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14010872:158887	192160	O vosso armário pode ser dizer a alguém que a amamos pela primeira vez, ou dizer a alguém que estamos grávidas, ou dizermos que temos cancro, ou qualquer outra conversa difícil que temos durante as nossas vidas.	spk.1932	pt
ted_1932_3	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:12491298:155010	176640	Um armário não é mais do que uma conversa difícil. Apesar de os assuntos variarem tremendamente, a experiência de estar num armário e sair dele é universal.	spk.1932	pt
ted_1932_4	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10892206:60072	75679	É assustador, odiamos, mas precisa de ser feito.	spk.1932	pt
ted_1932_5	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:399998:272290	281760	Há vários anos, eu trabalhava no café South Side Walnut, um restaurante local. Durante o tempo que estive lá, vivi fases de uma intensa militância lésbica: (Risos) não depilava as axilas, citava as letras de Ani DiFranco como se fossem o evangelho.	spk.1932	pt
ted_1932_6	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:14169804:125154	122880	E, dependendo da largura dos meus calções e de há quanto tempo eu tinha rapado a cabeça, a pergunta que muitas vezes me atiravam era — normalmente por um miúdo —:	spk.1932	pt
ted_1932_7	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:9334776:51945	56960	"És um menino ou uma menina?"	spk.1932	pt
ted_1932_8	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:10470823:29303	31520	Depois havia um silêncio constrangedor na mesa.	spk.1932	pt
ted_1932_9	/home/lltlien/Downloads/nckh/data/en-pt/flac.zip:4437025:63791	72160	Eu cerrava os maxilares mais um pouco, agarrava no jarro do café com um pouco mais de raiva.	spk.1932	pt
